id,name,value,lng,lat
16490,海淀软件园二期百度大厦ZL,259.5357424,116.269126,40.039409
16491,海淀美欣家园多径杆GZL,299.1377937,116.336137,40.036951
16492,海淀宝盛北里西区2号楼ZL,44.01383346,116.361638,40.038418
16493,海淀人才服务中心停车场GZL,302.1281826,116.267354,39.945096
16494,海淀当代城市家园西北GZL,530.6798478,116.30783,40.042683
16495,海淀朱房北一街GZL,68.86178825,116.32472,40.03239
16496,昌平4G北七佳园2号楼1ZTF,294.9852802,116.443579,40.101192
16497,海淀区远大东路和板井路交叉口GZL,58.77100206,116.281807,39.948059
16498,海淀椿楸嘉园23号楼ZL,34.68772315,116.247042,39.938161
16499,海淀凤凰岭龙泉寺北多径杆GZL,0,116.085273,40.101983
16500,海淀南羊坊村南多径杆GZL,26.45240094,116.21504,40.023958
16502,海淀永定路长峰宾馆ZL,22.54704486,116.260139,39.907317
16503,门头沟七地块6号楼ZL,492.6064131,116.114112,39.891982
16505,海淀北京科技大学2ZL,56.99050715,116.353363,39.991564
16506,延庆三间房ZL,10.77816942,116.460597,40.747897
16507,延庆东卓家营仓库ZL,117.5124306,115.976485,40.503691
16508,延庆常里营村北ZL,2.757985163,116.053171,40.538523
16509,延庆对角沟ZL,15.65797552,116.468573,40.581924
16510,延庆孔化营村东ZL,116.8093659,116.143422,40.510396
16511,延庆木化石群西侧ZL,9.113830595,116.376042,40.699917
16512,延庆新庄堡村东ZL,1.324567013,116.205118,40.584481
16513,延庆珍珠泉西ZL,56.94367553,116.412149,40.555233
16514,延庆世园区生活馆西侧ZL,5.552886257,115.953316,40.445348
16515,延庆镇政府Z,103.8687059,115.9783,40.45765
16517,延庆国润家园北门FDZL,103.4843779,115.97409,40.44343
16519,延庆五中FDZL,158.0499395,115.987471,40.452921
16520,延庆货运中心FDZL,183.5792877,115.977321,40.434521
16521,延庆格林豪泰酒店FDZL,278.2928198,115.97713,40.44592
16522,延庆颍泽州小区东侧商业楼FDZL,32.23782921,115.9757,40.44852
16524,延庆一职学校FDDZL,144.4754221,115.99193,40.45046
16525,延庆新移动综合楼FDZL,189.4081601,115.98559,40.46253
16526,海淀南沙河东路南侧GZL,9.162512064,116.236718,40.104913
16528,房山京石高铁边界站ZL,146.4528641,116.105711,39.569285
16529,房山石楼坨头村委会东南ZLG,28.7905388,115.994238,39.652258
16530,房山韩村河西东村东侧ZLG,74.53550879,115.973819,39.599031
16531,房山下中院村西南ZLG,28.53965079,115.834967,39.643951
16532,房山琉璃河黄土坡村东南ZLG,13.96858126,116.050821,39.610871
16533,房山窦店大高舍村村南ZLG,204.2073835,116.101751,39.661971
16534,房山燕山后朱各庄益中伟业ZL,170.7211598,115.984346,39.737394
16535,房山韩村河玉山驾驶南ZLG,0.758212891,115.870101,39.613921
16536,房山电信琉璃河检查站旁ZLG,126.0061046,116.010461,39.591681
16537,房山河北镇三十亩地村北ZLG,11.17446996,115.967775,39.854851
16538,房山4G青龙湖大苑村1Z,100.7194966,116.098831,39.765692
16539,房山霞云岭下石堡村北ZLG,7.065621643,115.773946,39.774807
16540,房山大安山樵涧峰俱乐部门口ZL,3.406838512,115.787763,39.908905
16541,房山史家营青土涧村东北ZL,61.08919245,115.685644,39.871656
16542,房山长阳东方国际学校ZL,59.1791619,116.166256,39.752508
16543,房山大石窝镇石窝村西北ZLG,118.739357,115.805576,39.560974
16544,房山联通鲁村东侧ZLG,112.0264047,116.155243,39.702768
16545,房山4G燕山上店工厂1Z,202.9905289,115.958202,39.765345
16546,房山良乡东石羊村南ZL,51.74895234,116.164515,39.676881
16547,房山长沟御塘贡米厂北ZLG,225.2192048,115.900295,39.592583
16548,门头沟苛萝坨南坡GZL,33.94515571,116.091356,39.882029
16549,昌平区天通苑西一区11号楼ZL,77.49909328,116.40105,40.063892
16551,昌平区天通苑西二区8号楼顶ZL,174.0808202,116.401731,40.071909
16552,昌平权金城渔山国际酒店ZL,58.7458529,116.027363,40.151901
16553,昌平交大学院西南ZL,132.4012175,116.192496,40.225228
16554,昌平区天通苑东二区ZL,105.5285043,116.433385,40.065705
16555,昌平区天通苑西二区16号楼顶ZL,166.0578072,116.404471,40.071988
16556,昌平南庄飞箱ZL,66.54171379,116.350452,40.354431
16557,昌平纳帕溪谷西ZL,16.30112514,116.413684,40.168884
16558,昌平新航道学校ZL,160.3894808,116.139474,40.129713
16559,昌平秦屯村东ZL,57.639778,116.462907,40.230387
16560,昌平小汤山桥东北ZL,55.49437294,116.402217,40.160865
16561,昌平农业园西ZL,48.09652119,116.421439,40.152899
16562,昌平珠江摩尔7号楼ZL,315.3621896,116.281751,40.096998
16564,昌平昌盛园三区15号楼飞箱ZL,272.4006407,116.248995,40.208212
16565,昌平化庄村中部ZL,204.5291626,116.247979,40.195657
16566,昌平十三陵康陵村ZL,29.16190978,116.206289,40.317948
16567,昌平泰燕路燕青农家院南ZL,2.06277235,116.193856,40.296448
16568,昌平燕丹村东北CZL,0,116.438082,40.083137
16569,门头沟精雕集团ZL,176.9452393,116.111585,39.895311
16570,海淀南羊坊GZL,177.4286633,116.210052,40.024341
16572,石景山中国科学院大学3ZL,43.23691062,116.245323,39.912721
16573,石景山中国科学院大学4ZL,36.68583573,116.246143,39.909963
16574,海淀北冶功能材料厂,282.6655214,116.34904,40.04051
16575,海淀清河双泉堡158号,71.02818408,116.33812,40.04572
16576,昌平区天通苑三区ZL,95.77160402,116.414406,40.057741
16577,昌平区天通苑西三区20号楼ZL,173.048147,116.402249,40.075205
16578,昌平东半壁店西南CZL,0,116.281822,40.099076
16579,昌平北亚花园南GZL,180.9149,116.414277,40.125487
