id,name,lng,lat
NR18110964,朝阳安华西里NL,116.393055,39.963888
NR18110965,朝阳安徽大厦NL,116.41,39.986388
NR18110966,朝阳安慧北里10号楼HL,116.406258,39.994118
NR18110967,朝阳安慧北里安园HL,116.405051,39.997801
NR18110968,朝阳安慧北里逸园HL,116.406655,40.000302
NR18110969,朝阳安慧里NL,116.402962,39.99292
NR18110970,朝阳安慧里一区12号HL,116.408462,39.991703
NR18110971,朝阳安慧桥东北HLG,116.401923,39.989143
NR18110972,朝阳安慧桥西北共联通HLG,116.399719,39.987556
NR18110973,朝阳安慧桥西南HL,116.400883,39.985683
NR18110976,朝阳安家楼便民市场HLG,116.464333,39.957397
NR18122107,朝阳安立花园HL,116.402,40.0025
NR18110980,朝阳安外胜古北路5号HLG,116.403089,39.970809
NR18110981,朝阳安翔北路HLG,116.378334,39.992673
NR18110984,朝阳安苑东里10号HL,116.404868,39.982791
NR18110985,朝阳安苑东里三区6号楼HL,116.406756,39.985477
NR18110986,朝阳安苑路甲17号楼HL,116.410343,39.982301
NR18122311,朝阳安苑路西口HL,116.402,39.9811
NR18110988,朝阳安贞北土城NLG,116.388611,39.978333
NR18110991,朝阳安贞里一区18号楼HL,116.398894,39.972255
NR18122307,朝阳安贞路南口HL,116.395,39.9703
NR18110993,朝阳安贞门HLG,116.401402,39.977045
NR18110994,朝阳安贞桥HL,116.405556,39.967222
NR18110995,朝阳安贞桥内HL,116.400722,39.968513
NR18110998,朝阳安贞西里四区3号楼HL,116.392238,39.970279
NR18110999,朝阳安贞西里小区北门HLG,116.416111,39.974722
NR18111000,朝阳奥林匹克公园东北HLG,116.394166,39.996388
NR18111004,朝阳奥林匹克公园观光塔西侧HLG,116.385521,40.007259
NR18111006,朝阳奥体西门HL,116.389001,39.980602
NR18111007,朝阳奥体中路中部HLG,116.395044,39.980823
NR18111008,朝阳奥园东园南侧HLG,116.390526,40.009246
NR18111010,朝阳奥园会所东北HLG,116.385567,40.002403
NR18111012,朝阳奥运北工大南侧HL,116.477667,39.871167
NR18111013,朝阳奥运村HLG,116.374833,40.005124
NR18111014,朝阳奥运村西南HL,116.369111,40.006561
NR18111020,朝阳八里庄东里30号楼HL,116.490789,39.917604
NR18111021,朝阳八里庄东里7号楼HL,116.493304,39.918897
NR18111022,朝阳八里庄东里HL,116.493321,39.916802
NR18111024,朝阳八里庄西里311号楼HL,116.487854,39.919288
NR18111025,朝阳八里庄西里612号楼HL,116.485089,39.91707
NR18111028,朝阳八王坟客运HL,116.473055,39.901944
NR18111033,朝阳白家庄北里HL,116.4505591,39.929972
NR18111034,朝阳白家庄东里2号楼HL,116.457199,39.927696
NR18111035,朝阳白家庄西里HL,116.451272,39.927982
NR18111036,朝阳白庙东侧HL,116.43,39.9892
NR18111037,朝阳白墙子村北HLG,116.484695,39.845551
NR18111038,朝阳白墙子村东南HLG,116.488405,39.843102
NR18111039,朝阳白墙子村南HLG,116.484756,39.842918
NR18111042,朝阳百环家园13号楼HL,116.460165,39.887533
NR18111043,朝阳百环商务独栋HL,116.459332,39.891245
NR18111046,朝阳百子湾1号院南侧HL,116.504001,39.89571
NR18111047,朝阳百子湾东里305号楼HL,116.497153,39.894652
NR18111048,朝阳百子湾火车站东南HLG,116.508324,39.871544
NR18111049,朝阳百子湾家园203号楼北侧HLG,116.508772,39.899743
NR18111050,朝阳百子湾家园302号楼HL,116.505611,39.896949
NR18111051,朝阳百子湾路2号楼HL,116.486415,39.900311
NR18111052,朝阳百子湾路HLG,116.482891,39.899371
NR18111053,朝阳百子湾南二路92号HL,116.459389,39.895219
NR18111054,朝阳百子湾西口HL,116.456944,39.899444
NR18111056,朝阳柏思德汽修东侧HLG,116.464444,39.964166
NR18111057,朝阳半壁店村HLG,116.512222,39.899444
NR18111062,朝阳报刊发行局HL,116.505646,39.884441
