name,lng,lat,1M5g_yonghushu,1M5g_zhuliubi,12M5g_yonghushu,12M5g_zhuliubi,归属区域名称,
房山5G良乡首都师范大学1Z,116.170138,39.711191,164,0.275 ,1874 ,0.996 ,北京良乡大学城,0.195931544
房山5G良乡首发物流商务楼北1Z,116.113952,39.71968,无此基站,无此基站,6 ,1.000 ,北京良乡大学城,0
房山5G良乡水产局1Z,116.126115,39.730142,177,0.222 ,1531 ,0.678 ,北京良乡大学城,7.114386068
房山5G良乡太平庄石材厂2Z,116.107172,39.731805,157,0.000 ,6320 ,0.968 ,北京良乡大学城,0.643161826
房山5G长阳镇凯悦莱酒店1ZM,116.169143,39.746741,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,1.502217356
房山5G良乡智汇雅苑二期1ZM,116.175041,39.734211,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,6.269948737
房山5G良乡智汇雅苑二期2ZM,116.175041,39.734211,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,6.269948737
房山5G良乡伟业嘉园东里北2Z,116.156352,39.733553,无此基站,无此基站,3 ,1.000 ,北京良乡大学城,0
房山5G良乡工会1ZM,116.129371,39.743961,无此基站,无此基站,5 ,0.005 ,北京良乡大学城,3.052731154
房山5G良乡智汇雅苑二期3ZM,116.175041,39.734211,无此基站,无此基站,3786 ,0.788 ,北京良乡大学城,6.269948737
房山5G良乡西潞大街1Z,116.124087,39.736881,0,0.000 ,0 ,0.000 ,北京良乡大学城,2.573702707
房山5G良乡中经信会议中心1ZM,116.143123,39.736008,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,1.562971187
房山5G房山城铁大学城东北1Z,116.176923,39.722982,0,0.000 ,1614 ,0.977 ,北京良乡大学城,0.199853037
房山5G阎村六环十三里桥1Z,116.114821,39.696747,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,2.98931594
房山5G良乡北京理工大学北校区5ZM,116.161848,39.731849,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,80.64771531
房山5G良乡政府二办区1ZM,116.127524,39.720278,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,0.151744956
房山5G良乡北京理工大学北校区6ZM,116.161848,39.731849,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,80.64771531
房山5G良乡北京理工大学南校区6ZM,116.163456,39.724636,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,73.48961551
房山5G良乡北京理工大学南校区5ZM,116.163456,39.724636,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,73.48961551
房山5G良乡北京理工大学南校区8ZM,116.163456,39.724636,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,73.48961551
房山5G良乡中国社会科学院6ZM,116.172614,39.740101,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,6.135513966
房山5G长阳滨水公园西北1Z,116.180282,39.754248,239,0.078 ,4177 ,0.957 ,北京良乡大学城,0.401339804
房山5G长阳金地朗悦学校1ZM,116.185339,39.730193,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,0.564738355
房山5G良乡多宝路1Z,116.150617,39.732791,207,0.068 ,1951 ,0.635 ,北京良乡大学城,4.492834649
房山5G良乡核安保E1号楼1Z,116.182247,39.725297,158,0.251 ,983 ,0.964 ,北京良乡大学城,0.619155566
房山5G良乡月华小区北1Z,116.119821,39.731505,无此基站,无此基站,779 ,0.579 ,北京良乡大学城,2.643191204
房山5G良乡鑫峰大厦1Z,116.124285,39.722493,88,0.322 ,2046 ,0.936 ,北京良乡大学城,1.665030673
房山5G良乡中发兴业电气有限公司1Z,116.136707,39.714668,无此基站,无此基站,359 ,0.798 ,北京良乡大学城,0.367950996
房山5G良乡联通良乡社会服务中心1Z,116.138811,39.730911,无此基站,无此基站,1295 ,0.723 ,北京良乡大学城,4.952912697
房山5G良乡体育馆北1Z,116.127122,39.740783,97,0.161 ,1177 ,0.775 ,北京良乡大学城,1.76146283
房山5G良乡京港澳东阎村桥1Z,116.105397,39.724942,无此基站,无此基站,2716 ,0.870 ,北京良乡大学城,1.067989553
房山5G良乡北京理工大学北校区2ZM,116.161848,39.731849,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,80.64771531
房山5G良乡华冠购物中心1Z,116.132828,39.733535,73,0.062 ,687 ,0.502 ,北京良乡大学城,7.8818242
房山5G良乡北京理工大学南校区1ZM,116.163456,39.724636,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,73.48961551
房山5G良乡北潞芳北1Z,116.119785,39.740943,179,0.167 ,1349 ,0.985 ,北京良乡大学城,0.054551812
房山5G良乡恒大滨河左岸北区1Z,116.147546,39.715615,277,0.306 ,1 ,0.237 ,北京良乡大学城,2.960779856
房山5G良乡成教中心1Z,116.15123,39.755601,无此基站,无此基站,2189 ,0.680 ,北京良乡大学城,10.18473969
房山5G长阳联通小西庄回迁楼北侧1Z,116.163242,39.743382,143,0.139 ,1653 ,0.945 ,北京良乡大学城,0.899023324
房山5G良乡北潞园1Z,116.124398,39.736621,136,0.374 ,2560 ,0.882 ,北京良乡大学城,2.107492798
房山5G良乡西潞园1Z,116.122753,39.731005,55,0.116 ,586 ,0.681 ,北京良乡大学城,2.330252366
房山5G阎村炒米店1Z,116.101676,39.710131,无此基站,无此基站,950 ,0.823 ,北京良乡大学城,0.59051596
房山5G良乡苏庄桥西南1Z,116.110988,39.726292,543,0.384 ,2939 ,0.958 ,北京良乡大学城,0.751861712
房山5G良乡北关运7酒店搬迁站1Z,116.135547,39.738962,无此基站,无此基站,1186 ,0.591 ,北京良乡大学城,3.95201304
房山5G良乡共创大厦1Z,116.116725,39.722868,183,0.106 ,13 ,0.384 ,北京良乡大学城,4.209895109
房山5G良乡经贸学校宿舍楼1Z,116.158093,39.720575,22,0.001 ,152 ,0.106 ,北京良乡大学城,26.72742228
房山5G良乡奥斯比例克新技术开发公司西北1Z,116.13296,39.71025,552,0.458 ,5592 ,0.999 ,北京良乡大学城,0.068243178
房山5G良乡理工大学北校区西1Z,116.160825,39.733113,无此基站,无此基站,1181 ,1.000 ,北京良乡大学城,0
房山5G良乡西潞时代1Z,116.121145,39.729061,297,0.195 ,1157 ,0.825 ,北京良乡大学城,2.4962859
房山5G良乡东羊庄1Z,116.158961,39.729241,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,15.66377556
房山5G房山良乡中医药大学操场1Z,116.167408,39.709065,142,0.385 ,1309 ,0.927 ,北京良乡大学城,1.775619641
房山5G房山良乡长虹东路1Z,116.153551,39.721297,200,0.065 ,3461 ,0.653 ,北京良乡大学城,14.46945961
房山5G良乡洋森饭店1Z,116.130321,39.724318,194,0.131 ,0 ,0.000 ,北京良乡大学城,11.40957598
房山5G阎村镇阎安东路1Z,116.090111,39.710121,无此基站,无此基站,720 ,0.899 ,北京良乡大学城,0.413550625
房山5G良乡电信良乡2办1Z,116.127153,39.719972,无此基站,无此基站,828 ,0.972 ,北京良乡大学城,0.151744956
房山5G良乡经贸职业学院2Z,116.155543,39.720153,101,0.037 ,793 ,0.558 ,北京良乡大学城,16.09274025
房山5G良乡太平庄1Z,116.112548,39.729175,287,0.112 ,3552 ,0.909 ,北京良乡大学城,1.047271928
房山5G良乡联通昊天家具城2Z,116.132667,39.720054,无此基站,无此基站,776 ,0.736 ,北京良乡大学城,2.675957388
房山5G长阳城铁广阳城站1Z,116.178151,39.744067,1,0.060 ,7 ,0.442 ,北京良乡大学城,4.247670791
房山5G良乡辰光家园1Z,116.136532,39.725395,309,0.146 ,2876 ,0.861 ,北京良乡大学城,4.687747291
房山5G良乡北京理工大学游泳馆5ZM,116.170647,39.730902,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,1.108881324
房山5G良乡北京理工大学南校区2ZM,116.163456,39.724636,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,73.48961551
房山5G良乡理工大学实训楼1Z,116.167611,39.724903,43,0.390 ,618 ,0.773 ,北京良乡大学城,1.710999759
房山5G良乡昊天家具城东南1Z,116.137608,39.720603,28,0.059 ,599 ,0.654 ,北京良乡大学城,2.078376323
房山5G良乡城铁大学城站1Z,116.171462,39.721652,157,0.084 ,1302 ,0.544 ,北京良乡大学城,7.190028815
房山5G良乡卫生监督所1Z,116.145741,39.747307,无此基站,无此基站,1282 ,0.944 ,北京良乡大学城,0.466823697
房山5G良乡拱辰招商大厦1ZM,116.130538,39.745579,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,3.396700143
房山5G良乡开发公司1Z,116.131412,39.715911,261,0.066 ,3093 ,0.995 ,北京良乡大学城,0.175245892
房山5G良乡中大瑞祥1ZM,116.129097,39.729177,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,7.145421052
房山5G良乡北潞园公园1Z,116.117501,39.735077,48,0.351 ,411 ,0.754 ,北京良乡大学城,1.189109327
房山5G良乡苏宁商务楼1ZM,116.135365,39.730072,无此基站,无此基站,3332 ,0.824 ,北京良乡大学城,5.163973052
房山5G良乡工商大学北1Z,116.159682,39.719329,无此基站,无此基站,6 ,0.263 ,北京良乡大学城,7.905163566
房山5G良乡首都师范大学北1Z,116.172185,39.714828,无此基站,无此基站,442 ,1.000 ,北京良乡大学城,0
房山5G良乡盛通建材1Z,116.133541,39.741365,无此基站,无此基站,1433 ,0.841 ,北京良乡大学城,2.47266712
房山5G良乡北京理工大学南校区4ZM,116.163456,39.724636,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,73.48961551
房山5G良乡五小1Z,116.139981,39.741668,192,0.341 ,2532 ,0.927 ,北京良乡大学城,1.552834069
房山5G良乡联通京广后店村东1Z,116.155821,39.746677,无此基站,无此基站,352 ,0.896 ,北京良乡大学城,0.155311311
房山5G良乡京周路1Z,116.150451,39.752687,752,0.245 ,1 ,0.413 ,北京良乡大学城,2.584279541
房山5G良乡1Z,116.140545,39.732877,340,0.253 ,3054 ,0.880 ,北京良乡大学城,3.524564786
房山5G良乡苏庄搬迁1Z,116.114125,39.727611,135,0.351 ,1682 ,0.909 ,北京良乡大学城,0.876560454
房山5G良乡田氏大厦Z26G,116.136283,39.732985,86,0.086 ,766 ,0.495 ,北京良乡大学城,6.749848201
房山5G良乡北京公安局房山分局1ZM,116.130657,39.743203,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,3.021056883
房山5G良乡北京理工大学北校区1ZM,116.161848,39.731849,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,80.64771531
房山5G良乡北京理工大学北校区4ZM,116.161848,39.731849,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,80.64771531
房山5G良乡中国社会科学院2ZM,116.172614,39.740101,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,6.135513966
房山5G良乡工商局1ZM,116.125872,39.729127,无此基站,无此基站,7 ,0.320 ,北京良乡大学城,2.617320187
房山5G良乡北潞园东门1Z,116.128922,39.738837,354,0.221 ,3258 ,0.878 ,北京良乡大学城,2.73067264
房山5G良乡联通东关新村1Z,116.147251,39.730223,无此基站,无此基站,408 ,0.191 ,北京良乡大学城,6.98584259
房山5G良乡睿府书香11号楼1Z,116.164531,39.722655,无此基站,无此基站,2168 ,0.645 ,北京良乡大学城,10.61512334
房山5G良乡北京理工大学5号宿舍楼A座1ZM,116.165591,39.735642,无此基站,无此基站,5 ,1.000 ,北京良乡大学城,0
房山5G良乡北京理工大学北校区9ZM,116.161848,39.731849,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,80.64771531
房山5G良乡圣晖花园西1Z,116.126708,39.751082,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,0.755601255
房山5G房山良乡中医药大学后勤楼1Z,116.165493,39.712345,46,0.014 ,505 ,0.175 ,北京良乡大学城,60.7204156
房山5G良乡圣星城1Z,116.130172,39.735223,472,0.273 ,3485 ,0.885 ,北京良乡大学城,3.317213811
房山5G良乡政通路招商大厦1Z,116.130363,39.745555,416,0.311 ,4396 ,0.865 ,北京良乡大学城,3.396700143
房山5G良乡政通路2号院1Z,116.138613,39.745823,无此基站,无此基站,3824 ,0.914 ,北京良乡大学城,2.062008483
房山5G良乡北京理工大学实训楼4ZM,116.167761,39.724987,无此基站,无此基站,1 ,0.012 ,北京良乡大学城,1.710999759
房山5G良乡中国社会科学院1ZM,116.172614,39.740101,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,6.135513966
房山5G良乡蚕种厂1Z,116.135207,39.751487,523,0.369 ,5802 ,0.963 ,北京良乡大学城,0.561303145
房山5G良乡瑞城广场1Z,116.135401,39.728331,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,5.037678594
房山5G长阳滨水公园1Z,116.182561,39.750375,1,0.150 ,4 ,0.397 ,北京良乡大学城,1.26325465
房山5G长阳世茂维拉小区对面1Z,116.172261,39.744252,无此基站,无此基站,2434 ,0.929 ,北京良乡大学城,0.59538331
房山5G良乡交通局指挥中心1Z,116.107714,39.720863,无此基站,无此基站,2373 ,0.870 ,北京良乡大学城,1.473519549
房山5G长阳镇1Z,116.170568,39.749975,357,0.087 ,5001 ,0.787 ,北京良乡大学城,7.78678458
房山5G良乡变压器厂1Z,116.149892,39.745922,100,0.093 ,4 ,0.024 ,北京良乡大学城,3.539039934
房山5G良乡林业局1Z,116.120508,39.725337,44,0.162 ,500 ,0.881 ,北京良乡大学城,1.006164387
房山5G良乡北关东路格林豪泰1Z,116.142183,39.734547,214,0.213 ,2133 ,0.736 ,北京良乡大学城,3.353531684
房山5G良乡京都百货1Z,116.135394,39.730415,318,0.167 ,2753 ,0.792 ,北京良乡大学城,5.389092161
房山5G良乡西路南里1Z,116.118792,39.729375,493,0.125 ,5554 ,0.915 ,北京良乡大学城,2.053871092
房山5G良乡长虹西路营业厅1ZM,116.124154,39.722487,2,0.205 ,24 ,0.616 ,北京良乡大学城,1.665030673
房山5G良乡医院1Z,116.135498,39.735711,244,0.103 ,0 ,0.000 ,北京良乡大学城,5.858463223
房山5G良乡影剧院1Z,116.13482,39.73673,249,0.053 ,449 ,0.226 ,北京良乡大学城,7.700355272
房山5G良乡西北关村西南1Z,116.133661,39.737805,25,0.053 ,7 ,0.292 ,北京良乡大学城,6.237279463
房山5G良乡五金化大楼1Z,116.122666,39.710195,无此基站,无此基站,2181 ,0.698 ,北京良乡大学城,5.603038142
房山5G良乡固村南1Z,116.114425,39.738981,359,0.349 ,3569 ,0.986 ,北京良乡大学城,0.107549556
房山5G良乡送变电物业1Z,116.149337,39.747931,241,0.348 ,2294 ,0.755 ,北京良乡大学城,3.580016928
房山5G良乡东关家园6号楼1Z,116.143961,39.731917,无此基站,无此基站,328 ,0.211 ,北京良乡大学城,6.476223209
房山5G良乡北京理工大学南校区7ZM,116.163456,39.724636,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,73.48961551
房山5G良乡长虹路1Z,116.13164,39.72235,369,0.160 ,3534 ,0.713 ,北京良乡大学城,11.15581024
房山5G良乡中心小学1Z,116.11784,39.72339,无此基站,无此基站,718 ,0.439 ,北京良乡大学城,4.209895109
房山5G良乡东关嘉安驾校1Z,116.142563,39.729951,338,0.247 ,2306 ,0.911 ,北京良乡大学城,1.389325713
房山5G良乡瑞雪春堂商务楼1Z,116.143237,39.714602,235,0.095 ,2486 ,0.956 ,北京良乡大学城,1.186044486
房山5G良乡智汇雅苑二期5ZM,116.175041,39.734211,无此基站,无此基站,1991 ,0.442 ,北京良乡大学城,6.269948737
房山5G长阳行政学校会议楼1ZM,116.172614,39.750177,无此基站,无此基站,30 ,0.056 ,北京良乡大学城,9.788145524
房山5G长阳行政学校会议楼2ZM,116.172614,39.750177,无此基站,无此基站,20 ,0.021 ,北京良乡大学城,9.788145524
房山5G良乡永兴楼1Z,116.136891,39.748731,无此基站,无此基站,1001 ,0.688 ,北京良乡大学城,2.554603592
房山5G良乡行宫营业厅1ZM,116.140777,39.746754,2,0.002 ,13 ,0.064 ,北京良乡大学城,2.099954694
房山5G良乡鱼儿沟1Z,116.129352,39.743985,279,0.350 ,2474 ,0.812 ,北京良乡大学城,3.052731154
房山5G良乡花鸟鱼虫市场1ZM,116.138902,39.742499,无此基站,无此基站,4 ,0.455 ,北京良乡大学城,1.917518144
房山5G良乡北潞园派出所1Z,116.122651,39.742181,无此基站,无此基站,5865 ,0.913 ,北京良乡大学城,1.370608425
房山5G良乡青年创业园1ZM,116.133321,39.741364,无此基站,无此基站,46 ,0.276 ,北京良乡大学城,2.47266712
房山5G良乡高教园区大学生创业实习基地1ZM,116.171697,39.740109,无此基站,无此基站,4586 ,0.839 ,北京良乡大学城,6.135513966
房山5G良乡高教园区大学生创业基地2HM,116.165502,39.738724,0,0.000 ,2 ,0.038 ,北京良乡大学城,1.021093104
房山5G良乡北京理工大学5号宿舍楼B座2ZM,116.165591,39.735642,无此基站,无此基站,5 ,1.000 ,北京良乡大学城,0
房山5G良乡美廉美良乡店1ZM,116.129261,39.735161,无此基站,无此基站,7 ,0.063 ,北京良乡大学城,3.319522243
房山5G良乡智汇雅苑二期4ZM,116.175041,39.734211,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,6.269948737
房山5G良乡龙鑫大厦53号1ZM,116.135731,39.733481,无此基站,无此基站,6 ,0.002 ,北京良乡大学城,6.624018612
房山5G良乡拱辰大街营业厅1ZM,116.136224,39.7332,3,0.013 ,12 ,0.064 ,北京良乡大学城,6.396103195
房山5G良乡北京理工大学北校区7ZM,116.161848,39.731849,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,80.64771531
房山5G良乡北京理工大学北校区8ZM,116.161848,39.731849,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,80.64771531
