name,lng,lat,9M5g_yonghushu,9M5g_liuliang,9M4g_liuliang,9MSite_zhuliubi,9M_fugailv,9M_tousu,12M5g_yonghushu,12M5g_liuliang,12M4g_liuliang,12MSite_zhuliubi,12M_fugailv,12M_tousu,归属区域名称,
顺义5G庄子营村西1H,116.64466,40.06278,425,4.33,16.77,0.2054 ,0.9903 ,,1657,5.62,0.902336026,0.8620 ,0.9950 ,,,
昌平5G西城旧城保护定向安置房1ZM,116.309588,40.062734,45,6.89,60.25,0.1026 ,,,54,7.58,4.256035427,0.6400 ,0.9900 ,,,
昌平5G西城旧城保护定向安置房2ZM,116.309588,40.062734,0,0,60.25,0.0000 ,,,0,0,4.256035427,0.0000 ,0.9900 ,,,
顺义5G紫宸酒店1H,116.566388,40.062709,1127,12.28,4.4,0.7363 ,0.9914 ,,2169,13.54,0.354680943,0.9740 ,0.9990 ,,,
顺义5G头二营1H,116.635371,40.062501,536,8.66,27.49,0.2394 ,0.9837 ,,1011,13.25,1.019184238,0.9290 ,0.9780 ,,,
顺义5G北务工业区1H,116.81271,40.06219,367,5.82,23.03,0.2018 ,0.9930 ,,547,11.55,2.542665383,0.8200 ,0.9800 ,,,
城三5G海淀北清路与稻香湖十字路交叉口南1Z,116.180617,40.062161,2227,0.62,1.92,0.2448 ,1.0000 ,,2672,12.27,1.567515212,0.8870 ,0.9300 ,,,
昌平5G中滩村委会北1Z,116.396944,40.061904,0,0,4.01,0.0000 ,,,26079,294.78,1.996995752,0.9930 ,0.9900 ,,,
城三5G海淀五机床宿舍1Z,116.362891,40.061746,915,0.33,5.68,0.0553 ,0.9992 ,,564,3.63,2.535919228,0.5890 ,0.9700 ,,,
顺义5G沙浮村北1H,116.724631,40.061539,274,1.61,3.45,0.3182 ,0.9905 ,,10,1.77,0.156879232,0.9190 ,0.9850 ,,,
顺义5G欧陆苑别墅南1H,116.54421,40.06153,1621,8.76,18.68,0.3191 ,0.9965 ,,5416,15.93,1.504302821,0.9140 ,0.9940 ,,,
昌平5G单村南1Z,116.379581,40.061321,0,0,2.2,0.0000 ,,,0,0,0.418752863,0.0000 ,0.9900 ,,,
城三5G海淀土井村1Z,116.264303,40.061015,1636,3.71,3.13,0.5425 ,0.9878 ,,2666,58.88,0.611921151,0.9900 ,0.9690 ,,,
城三5G海淀高里掌村南1Z,116.13694,40.06092,105,0,0.01,0.0000 ,0.9958 ,,148,0.41,0.041544167,0.9080 ,0.9970 ,,,
